id,nome,distrito,municipio,ano de escolaridade,privado/publico
id,"Escola Básica de Aguada de Cima, Águeda",Aveiro,Águeda,1º Ciclo,Público
id,"Escola Básica de Valongo do Vouga, Águeda",Aveiro,Águeda,1º Ciclo,Público
