nome_escola,Latitude,Longitude
Total Nacional (Continente),,
"Escola Básica António Graça, Barrô, Águeda",,
"Escola Básica de Macinhata do Vouga, Águeda",,
"Escola Básica Professor Artur Nunes Vidal, Fermentelos, Águeda",,
"Escola Básica Fernando Caldeira, Águeda",,
"Escola Básica de Recardães, Águeda",,
"Escola Básica de Travassô, Águeda",,
"Escola Básica de Aguada de Cima, Águeda",,
"Escola Básica de Aguada de Baixo, Águeda",,
Instituto Duarte Lemos,,
"Escola Básica de Borralha, Águeda",,
"Escola Básica de Assequins, Águeda",,
Escola Básica de Águeda,,
"Escola Básica de Valongo do Vouga, Águeda",,
"Escola Básica da Trofa, Águeda",,
"Escola Básica de Alquerubim, Albergaria-a-Velha",,
"Escola Básica de Albergaria-a-Nova, Albergaria-a-Velha",,
"Escola Básica de Santo António, Valmaior, Albergaria-a-Velha",,
"Escola Básica de Fradelos, Albergaria-a-Velha",,
"Escola Básica de São João de Loure, Albergaria-a-Velha",,
Colégio de Albergaria,,
"Escola Básica de Angeja, Albergaria-a-Velha",,
"Escola Básica de Sobreiro, Albergaria-a-Velha",,
Escola Básica de Albergaria-a-Velha,,
"Escola Básica de Igreja, Valmaior, Albergaria-a-Velha",,
"Escola Básica de Cruzinha, Albergaria-a-Velha",,
"Escola Básica de Laginhas, Albergaria-a-Velha",,
"Escola Básica de Campo, Albergaria-a-Velha",,
"Escola Básica de Souto, Albergaria-a-Velha",,
"Escola Básica da Avenida, Albergaria-a-Velha",,
"Escola Básica de Paredes do Bairro, Anadia",,
"Escola Básica de Avelãs de Cima, Anadia",,
"Escola Básica de Sangalhos, Anadia",,
Escola Básica de Anadia,,
"Escola Básica de Vilarinho do Bairro, Anadia",,
"Escola Básica de Vila Nova de Monsarros, Anadia",,
"Escola Básica de Tamengos, Anadia",,
Salesianos de Mogofores - Colégio,,
"Escola Básica de Chãozinho, Anadia",,
"Escola Básica de Moita, Anadia",,
Colégio de Nossa Senhora da Assunção,,
"Escola Básica de Aguim, Anadia",,
"Escola Básica de Mogofores, Anadia",,
"Escola Básica de Poutena, Anadia",,
"Escola Básica de Chave, Arouca",,
"Escola Básica de Paço, Rossas, Arouca",,
"Escola Básica de Fermedo, Arouca",,
"Escola Básica do Burgo, Arouca",,
"Escola Básica de Canelas, Arouca",,
"Escola Básica e Secundária de Escariz, Arouca",,
"Escola Básica de Paços, Arouca",,
"Escola Básica de Boavista, Arouca",,
"Escola Básica de Ponte de Telhe, Arouca",,
"Escola Básica de Serra da Vila, Casal, Arouca",,
"Escola Básica de Paço, Alvarenga, Arouca",,
Escola Básica n.º 1 de Arouca,,
"Escola Básica de Leirinhas de Aradas, Aveiro",,
"Escola Básica de Mamodeiro, Aveiro",,
"Escola Básica de Nariz, Aveiro",,
"Escola Básica de Azurva, Aveiro",,
"Escola Básica de Esgueira, Aveiro",,
"Escola Básica de Quinta do Picado, Aveiro",,
"Escola Básica de Presa, Santa Joana, Aveiro",,
"Escola Básica de Barrocas, Aveiro",,
"Escola Básica de Quinta do Simão, Aveiro",,
"Escola Básica de Póvoa do Paço, Aveiro",,
"Escola Básica de Areais, Aveiro",,
"Escola Básica de São Jacinto, Aveiro",,
"Escola Básica de Póvoa do Valado, Aveiro",,
"Escola Básica de Costa do Valado, Aveiro",,
"Escola Básica de Eixo, Aveiro",,
"Escola Básica n.º 2 de São Bernardo, Aveiro",,
"Escola Básica de Solposto, Aveiro",,
"Escola Básica de Santiago, Aveiro",,
"Escola Básica e Secundária Dr. Jaime Magalhães Lima, Esgueira, Aveiro",,
"Escola Básica de Cacia, Aveiro",,
"Escola Básica de Verdemilho, Aveiro",,
"Escola Básica de Bonsucesso, Aveiro",,
"Escola Básica n.º 1 de São Bernardo, Aveiro",,
"Escola Básica Castro Matoso, Oliveirinha, Aveiro",,
Colégio D. José I,,
"Escola Básica de Alumieira, Mataduços, Aveiro",,
"Escola Básica de Vera-Cruz, Aveiro",,
"Escola Básica de Requeixo, Aveiro",,
"Escola Básica de Quintã do Loureiro, Cacia, Aveiro",,
"Escola Básica de Sarrazola, Aveiro",,
"Escola Básica de Glória, Aveiro",,
Colégio Português (ENSIGEST)- Empreendimentos Educativos Lda,,
"Escola Básica de Taboeira, Aveiro",,
"Escola Básica de Cruz da Agra, São Martinho, Castelo de Paiva",,
"Escola Básica de Adro, Real, Castelo de Paiva",,
Escola Básica e Secundária de Castelo de Paiva,,
"Escola Básica de Raiva, Castelo de Paiva",,
"Escola Básica de Casal da Renda, Castelo de Paiva",,
"Escola Básica de São Lourenço, Castelo de Paiva",,
"Escola Básica de Cepa, Castelo de Paiva",,
"Escola Básica de Oliveira de Reguengo, Castelo de Paiva",,
"Escola Básica de Pereire, Sardoura, Castelo de Paiva",,
"Escola Básica de Serradelo, Castelo de Paiva",,
"Escola Básica de Póvoa, Castelo de Paiva",,
"Escola Básica de Oliveira do Arda, Castelo de Paiva",,
"Escola Básica de Anta, Espinho",,
"Escola Básica de Paramos, Espinho",,
"Escola Básica de Silvalde, Espinho",,
Escola Básica n.º 2 de Espinho,,
"Escola Básica de Guetim, Espinho",,
Escola Básica n.º 3 de Espinho,,
Colégio Mãe Galinha - Secção,,
"Escola Básica Visconde de Salreu, Estarreja",,
"Escola Básica de Pinheiro, Veiros, Estarreja",,
"Escola Básica de Congosta, Estarreja",,
"Escola Básica de Mato, Estarreja",,
Jardim Escola João de Deus Estarreja,,
"Escola Básica Padre Donaciano Abreu Freire, Estarreja",,
"Escola Básica de Pardilhó, Estarreja",,
"Escola Básica de Cabeças, Estarreja",,
"Escola Básica de Mosteirô, Santa Maria da Feira",,
"Escola Básica de Espargo, Santa Maria da Feira",,
"Escola Básica de São João de Vêr, Santa Maria da Feira",,
"Escola Básica de Cimo de Aldeia, Pigeiros, Santa Maria da Feira",,
"Escola Básica de Igreja, Escapães, Santa Maria da Feira",,
"Escola Básica de Prime, Santa Maria da Feira",,
"Escola Básica de Louredo, Santa Maria da Feira",,
"Escola Básica de Milheirós, Santa Maria da Feira",,
"Escola Básica de Caldelas, Caldas de São Jorge, Santa Maria da Feira",,
"Escola Básica de Fonte Seca, Santa Maria da Feira",,
"Escola Básica de Sobral, Santa Maria da Feira",,
"Escola Básica de Outeiro, Arrifana, Santa Maria da Feira",,
"Escola Básica n.º 3 de Santa Maria de Lamas, Santa Maria da Feira",,
"Escola Básica de Póvoa, Paços de Brandão, Santa Maria da Feira",,
"Escola Básica de Igreja de São Paio de Oleiros, Santa Maria da Feira",,
"Escola Básica de Aldeia, Sanfins, Santa Maria da Feira",,
"Escola Básica de Bairro, Arrifana, Santa Maria da Feira",,
Escola Básica n.º 1 de Santa Maria da Feira,,
"Escola Básica de Valrico, Santa Maria da Feira",,
"Escola Básica de Fornos, Santa Maria da Feira",,
"Escola Básica de São Domingos, Santa Maria da Feira",,
"Escola Básica de Aldriz, Santa Maria da Feira",,
"Escola Básica Dr. Sérgio Ribeiro, Lourosa, Santa Maria da Feira",,
"Escola Básica de Canedo, Santa Maria da Feira",,
"Escola Básica de Pousadela de Baixo, Santa Maria da Feira",,
"Escola Básica n.º 1 de Santa Maria de Lamas, Santa Maria da Feira",,
"Escola Básica de Igreja, Romariz, Santa Maria da Feira",,
"Escola Básica de Souto Redondo, Santa Maria da Feira",,
"Escola Básica de Outeiro, Travanca, Santa Maria da Feira",,
"Escola Básica de Chão do Rio, Fiães, Santa Maria da Feira",,
"Escola Básica n.º 2 de Carvalhal, Santa Maria da Feira",,
"Externato Infantil ""Paraíso dos Pequeninos""",,
"Escola Básica de Santo António, Rio Meão, Santa Maria da Feira",,
"Escola Básica n.º 2 de Vendas Novas, Santa Maria da Feira",,
"Escola Básica de Póvoa, Santa Maria da Feira",,
"Escola Básica de Igreja, Milheirós de Poiares, Santa Maria da Feira",,
"Escola Básica de Mieiro, Santa Maria da Feira",,
Escola Básica n.º 2 de Santa Maria da Feira,,
"Escola Básica de Vergada, Santa Maria da Feira",,
"Escola Básica de Casalmeão, Santa Maria da Feira",,
"Escola Básica de Igreja, Paços de Brandão, Santa Maria da Feira",,
"Escola Básica de Outeiro, Rio Meão, Santa Maria da Feira",,
"Escola Básica de Presinha, Santa Maria da Feira",,
"Escola Básica de Beira, Gião, Santa Maria da Feira",,
"Escola Básica de Arraial, Sanguedo, Santa Maria da Feira",,
"Escola Básica de Cavaco, Santa Maria da Feira",,
"Escola Básica de Igreja, Lobão, Santa Maria da Feira",,
"Escola Básica de Avenida, Chousa de Baixo, Santa Maria da Feira",,
"Escola Básica de Souto, Santa Maria da Feira",,
Colégio de Lamas,,
"Escola Básica de Badoucos, Santa Maria da Feira",,
"Escola Básica de Aldeia Nova, Santa Maria da Feira",,
Colégio Santa Eulália,,
"Escola Básica n.º 2 de Cale da Vila, Gafanha da Nazaré, Ílhavo",,
"Escola Básica de Senhora do Pranto, Ílhavo",,
"Escola Básica de Gafanha da Encarnação-Sul, Ílhavo",,
"Escola Básica de Chousa Velha, Ílhavo",,
Escola Básica de Ílhavo,,
"Escola Básica de Farol da Barra, Gafanha da Nazaré, Ílhavo",,
"Escola Básica de Gafanha da Encarnação-Centro, Ílhavo",,
"Escola Básica de Vale de Ílhavo, Ílhavo",,
"Escola Básica de Marinha Velha, Gafanha da Nazaré, Ílhavo",,
"Escola Básica de Presa, Ílhavo",,
"Escola Básica n.º 1 de Cale da Vila, Gafanha da Nazaré, Ílhavo",,
"Escola Básica de Gafanha de Aquém, Ílhavo",,
"Escola Básica de Corgo Comum, Ílhavo",,
"Escola Básica de Gafanha da Encarnação-Norte, Ílhavo",,
"Escola Básica de Costa Nova do Prado, Ílhavo",,
"Escola Básica de Chave, Gafanha da Nazaré, Ílhavo",,
"Escola Básica de Gafanha do Carmo, Ílhavo",,
"Escola Básica de Cambeia, Gafanha da Nazaré, Ílhavo",,
"Escola Básica n.º 1 de Pampilhosa, Mealhada",,
"Escola Básica de Luso, Mealhada",,
"Escola Básica de Barcouço, Mealhada",,
"Escola Básica de Antes, Mealhada",,
"Escola Básica de Casal Comba, Mealhada",,
Escola Básica n.º 1 de Mealhada,,
"Escola Básica de Torreira, Murtosa",,
"Escola Básica de Monte, Murtosa",,
"Escola Básica e Secundária Padre António Morais da Fonseca, Murtosa",,
"Escola Básica de São Silvestre, Murtosa",,
"Escola Básica de Azagães, Carregosa, Oliveira de Azeméis",,
"Escola Básica n.º 1 de Travanca, Outeiro, Oliveira de Azeméis",,
"Escola Básica n.º 1 de Faria de Baixo, Oliveira de Azeméis",,
"Escola Básica de Bustelo, Oliveira de Azeméis",,
"Escola Básica de Outeiro, Santiago de Riba-Ul, Oliveira de Azeméis",,
"Escola Básica de Madail, Oliveira de Azeméis",,
"Escola Básica Comendador Ângelo Azevedo, Oliveira de Azeméis",,
"Escola Básica de Macieira de Sarnes, Oliveira de Azeméis",,
"Escola Básica de Curval, Oliveira de Azeméis",,
Escola Básica n.º 4 de Oliveira de Azeméis,,
"Escola Básica Comendador António da Silva Rodrigues, Oliveira de Azeméis",,
"Escola Básica de Pindelo, Oliveira de Azeméis",,
"Escola Básica de Carregosa, Oliveira de Azeméis",,
"Escola Básica de Brejo, Serrazina, Oliveira de Azeméis",,
Escola Básica n.º 1 de Oliveira de Azeméis,,
"Escola Básica de Alumieira, Oliveira de Azeméis",,
"Escola Básica n.º 1 de Cruzeiro, Alvão, Oliveira de Azeméis",,
"Escola Básica de Palmaz, Oliveira de Azeméis",,
"Escola Básica de Picoto, Oliveira de Azeméis",,
"Escola Básica n.º 1 de Cesar, Picoto, Oliveira de Azeméis",,
Colégio da Gandarinha - Fundação Condessa Penha Longa,,
"Escola Básica n.º 1 de Santiago de Riba-Ul, Vila Cova, Oliveira de Azeméis",,
Escola Básica n.º 2 de Oliveira de Azeméis,,
"Externato Infantil ""O Despertar""",,
"Escola Básica n.º 3 de Fajões, Oliveira de Azeméis",,
"Escola Básica Maria Godinho, Arroteia, Oliveira de Azeméis",,
"Escola Básica de Santo António, Ossela, Oliveira de Azeméis",,
"Escola Básica n.º 1 de Areosa, Oliveira de Azeméis",,
Escola Básica de Oliveira do Bairro,,
"Escola Básica de Palhaça, Oliveira do Bairro",,
"Escola Básica de Troviscal, Oliveira do Bairro",,
"Escola Básica de Oiã Poente, Oliveira do Bairro",,
"Escola Básica de Oiã Nascente, Oliveira do Bairro",,
"Escola Básica de Vila Verde, Oliveira do Bairro",,
"Escola Básica Dr. Fernando Peixinho, Oiã, Oliveira do Bairro",,
"Escola Básica de Bustos, Oliveira do Bairro",,
"Escola Básica de Mamarrosa, Oliveira do Bairro",,
"Escola Básica de Campo Grande, Esmoriz, Ovar",,
"Escola Básica de São João, Ovar",,
"Escola Básica de Habitovar, Ovar",,
"Escola Básica de Combatentes, Ovar",,
"Escola Básica de Ponte Nova, Ovar",,
"Escola Básica de Torre, Esmoriz, Ovar",,
"Escola Básica de Praia, Esmoriz, Ovar",,
"Escola Básica de Vinha, Esmoriz, Ovar",,
"Escola Básica de Regedoura, Válega, Ovar",,
"Escola Básica de Oliveirinha, Ovar",,
"Escola Básica de Estrada, Maceda, Ovar",,
"Escola Básica de Relva, Esmoriz, Ovar",,
"Escola Básica de Gavinho, Cortegaça, Ovar",,
"Escola Básica de Furadouro, Ovar",,
"Escola Básica de São Vicente de Pereira Jusã, Ovar",,
"Escola Básica de Outeiral, Ovar",,
"Escola Básica de Cabanões, Ovar",,
"Escola Básica de São Donato, Ovar",,
"Escola Básica de Murteira, Ovar",,
Externato de S. Miguel,,
"Escola Básica de Fundo de Vila, São João da Madeira",,
Externato Estrela Guia,,
"Escola Básica Conde Dias Garcia, São João da Madeira",,
"Escola Básica de Parrinho, São João da Madeira",,
"Escola Básica das Fontainhas, São João da Madeira",,
"Escola Básica de Ribeiros, São João da Madeira",,
"Escola Básica de Espadanal, São João da Madeira",,
"Escola Básica de Casaldelo, São João da Madeira",,
"Escola Básica de Carquejido, São João da Madeira",,
Centro de Educação Integral,,
"Escola Básica do Parque, São João da Madeira",,
"Escola Básica de Paradela do Vouga, Sever do Vouga",,
"Escola Básica de Rocas do Vouga, Sever do Vouga",,
"Escola Básica de Cedrim, Sever do Vouga",,
"Escola Básica de Talhadas, Sever do Vouga",,
Escola Básica de Sever do Vouga,,
"Escola Básica de Fonte de Angeão, Vagos",,
"Escola Básica da Gafanha da Boa Hora, Vagos",,
"Escola Básica de Vigia, Vagos",,
"Escola Básica de Calvão, Vagos",,
"Escola Básica de Soza, Vagos",,
"Escola Básica Dr. João Rocha - Pai, Vagos",,
"Escola Básica de Quintã, Vagos",,
"Escola Básica de Salgueiro, Vagos",,
"Escola Básica de Ouca, Vagos",,
"Escola Básica de Lombomeão, Vagos",,
"Escola Básica de Arões - Junqueira, Vale de Cambra",,
"Escola Básica do Búzio, Vale de Cambra",,
"Escola Básica de Areias, Vale de Cambra",,
"Escola Básica de Casal, Vale de Cambra",,
"Escola Básica de Janardo, Vale de Cambra",,
"Escola Básica de Codal, Vale de Cambra",,
"Escola Básica de Vila Chã, Vale de Cambra",,
"Escola Básica de Covo, Vale de Cambra",,
"Escola Básica Luiz Bernardo de Almeida, Vale de Cambra",,
"Escola Básica de Macinhata, Vale de Cambra",,
Escola Básica de Aljustrel,,
"Escola Básica de Ervidel, Aljustrel",,
"Escola Básica de Montes Velhos, Aljustrel",,
"Escola Básica de Messejana, Aljustrel",,
"Escola Básica de Rosário, Almodôvar",,
"Escola Básica de Santa Clara-a-Nova, Almodôvar",,
"Escola Básica de Telhada, Almodôvar",,
"Escola Básica de Aldeia dos Fernandes, Almodôvar",,
Escola Básica de Almodôvar,,
Escola Básica n.º 1 de Alvito,,
Escola Básica de Barrancos,,
"Escola Básica de Salvada, Beja",,
"Escola Básica de Baleizão, Beja",,
"Escola Básica de Santa Vitória, Beja",,
"Escola Básica de Neves, Beja",,
"Escola Básica de Santa Clara do Louredo, Beja",,
"Escola Básica de Santiago Maior, Beja",,
"Escola Básica de Albernoa, Beja",,
"Escola Básica de Santa Maria, Beja",,
"Escola Básica de São Matias, Beja",,
"Escola Básica de Penedo Gordo, Beja",,
"Jardim de Infância de Penilhos, Mértola",,
"Escola Básica de Beringel, Beja",,
"Escola Básica de Cabeça Gorda, Beja",,
"Escola Básica de Trigaches, Beja",,
"Escola Básica Mário Beirão, Beja",,
Escola Básica n.º 2 de Castro Verde,,
"Escola Básica de Entradas, Castro Verde",,
"Escola Básica de Santa Bárbara de Padrões, Castro Verde",,
Escola Básica n.º 1 de Castro Verde,,
"Escola Básica de Faro do Alentejo, Cuba",,
"Escola Básica de Vila Alva, Cuba",,
"Escola Básica Fialho de Almeida, Cuba",,
Escola Básica de Ferreira do Alentejo,,
"Escola Básica de Figueira dos Cavaleiros, Ferreira do Alentejo",,
"Escola Básica de Santa Margarida do Sado, Ferreira do Alentejo",,
"Escola Básica de Alfundão, Ferreira do Alentejo",,
"Escola Básica de Canhestros, Ferreira do Alentejo",,
"Escola Básica de Odivelas, Ferreira do Alentejo",,
Jardim Infantil Nossa Senhora da Conceição-Beja,,
"Escola Básica de Mina de São Domingos, Mértola",,
"Escola Básica de São Miguel do Pinheiro, Mértola",,
"Escola Básica de Algodor, Mértola",,
"Escola Básica de Santana de Cambas, Mértola",,
Escola Básica de Mértola,,
"Escola Básica de Póvoa de São Miguel, Moura",,
"Escola Básica de Bombeiros Voluntários, Moura",,
"Escola Básica de Safara, Moura",,
"Escola Básica de Santo Amador, Moura",,
"Escola Básica de Fojo, Moura",,
"Escola Básica de Amareleja, Moura",,
"Escola Básica de Santo Aleixo da Restauração, Moura",,
"Escola Básica de Sete e Meio, Moura",,
"Escola Básica da Porta Nova, Moura",,
"Escola Básica de Sobral da Adiça, Moura",,
"Escola Básica de Relíquias, Odemira",,
"Escola Básica de São Luís, Odemira",,
"Escola Básica de Vila Nova de Milfontes, Odemira",,
"Escola Básica de Brunheiras, Odemira",,
"Escola Básica de Foros do Galeado, Odemira",,
"Escola Básica de Longueira, Odemira",,
Escola Básica de Odemira,,
"Escola Básica de Boavista dos Pinheiros, Odemira",,
"Escola Básica de Luzianes-Gare, Odemira",,
"Escola Básica de Zambujeira do Mar, Odemira",,
"Escola Básica de Santa Clara-a-Velha, Odemira",,
"Escola Básica Aviador Brito Paes, Colos, Odemira",,
"Escola Básica de Bicos, Odemira",,
"Escola Básica n.º 2 de Sabóia, Odemira",,
"Escola Básica de São Martinho das Amoreiras, Odemira",,
"Escola Básica Engenheiro Manuel R. Amaro da Costa, São Teotónio, Odemira",,
"Escola Básica de Santana da Serra, Ourique",,
"Escola Básica de Garvão, Ourique",,
Escola Básica de Ourique,,
"Escola Básica n.º 2 de Vila Nova de S. Bento, Serpa",,
"Escola Básica de Vales Mortos, Serpa",,
"Escola Básica de Abade Correia da Serra, Serpa",,
"Escola Básica de Vale de Vargo, Serpa",,
"Escola Básica de Brinches, Serpa",,
"Escola Básica de Pias, Serpa",,
"Escola Básica de Vila Verde de Ficalho, Serpa",,
"Escola Básica de Montes do Pinto, Serpa",,
"Escola Básica de Pedrógão, Vidigueira",,
"Escola Básica Frei António Chagas, Vidigueira",,
"Escola Básica de Selmes, Vidigueira",,
"Escola Básica de Vila de Frades, Vidigueira",,
"Escola Básica D. Gualdim Pais, Amares",,
"Escola Básica de Caldelas, Amares",,
"Escola Básica de Bouro, Amares",,
"Escola Básica do Vale do Homem, Rendufe, Amares",,
"Escola Básica de Feira Nova, Ferreiros, Amares",,
"Escola Básica de Vale do Cávado, Veiga, Amares",,
"Escola Básica de Gilmonde, Barcelos",,
"Escola Básica de Arcozelo, Barcelos",,
"Escola Básica de Creixomil, Barcelos",,
"Escola Básica de Rio Covo - Santa Eugénia, Barcelos",,
"Escola Básica de Alvelos, Barcelos",,
"Escola Básica António Fogaça, Barcelos",,
"Escola Básica de Caminhos, Barcelos",,
"Escola Básica de Bastuço - São João, Barcelos",,
"Escola Básica de Chavão, Barcelos",,
"Escola Básica de Pereira, Barcelos",,
"Escola Básica de Fragoso, Barcelos",,
"Escola Básica de Balugães, Fonte de Cal, Barcelos",,
"Escola Básica de Areias de Vilar, Barcelos",,
"Escola Básica de Fonte Coberta, Landeiro, Barcelos",,
"Escola Básica de Gamil, Barcelos",,
"Escola Básica de Bastuço - Santo Estêvão, Barcelos",,
"Escola Básica de Areias, Barcelos",,
"Escola Básica de Galegos - Santa Maria, Barcelos",,
"Escola Básica de Macieira de Rates, Barcelos",,
"Escola Básica de Alvito, São Pedro, Barcelos",,
"Escola Básica de Martim, Barcelos",,
"Escola Básica de Aldreu, Barcelos",,
"Escola Básica de Carreira, Barcelos",,
"Escola Básica de Tamel - Santa Leocádia, Barcelos",,
"Escola Básica de Remelhe, Barcelos",,
"Escola Básica de Paradela, Algova, Barcelos",,
"Escola Básica de Moure, Barcelos",,
"Escola Básica de Milhazes, Barcelos",,
"Escola Básica de Airó, Barcelos",,
"Escola Básica de Aborim, Barcelos",,
"Escola Básica e Secundária de Vila Cova, Barcelos",,
"Escola Básica de Pousa, Barcelos",,
"Escola Básica de Alheira, Barcelos",,
"Escola Básica de Bárrio, Roriz, Barcelos",,
"Escola Básica de Gueral, Barcelos",,
"Escola Básica de Perelhal, Barcelos",,
"Escola Básica de Viatodos, Barcelos",,
"Escola Básica de Cossourado, Barcelos",,
"Escola Básica de Abade de Neiva, Barcelos",,
"Escola Básica de Igreja - Cristelo, Barcelos",,
"Escola Básica de Fraião, Barcelos",,
"Escola Básica e Secundária de Vale do Tamel, Lijó, Barcelos",,
"Escola Básica de Silva, Barcelos",,
"Escola Básica de São Brás, Areal, Barcelos",,
"Escola Básica de Durrães, Barcelos",,
"Escola Básica de Silveiros, Barcelos",,
Colégio Didálvi,,
"Escola Básica de Várzea, Barcelos",,
"Escola Básica de Manhente, Barcelos",,
