Nome;TipoPosto;Municipio;Preco;Marca;Combustivel;DataAtualizacao;Distrito;Morada;Localidade;CodPostal;Latitude;Longitude
"Cidade N' Aldeia";"Outro";"Póvoa de Lanhoso";"1,880 €";"CIDADE N'ALDEIA";"Gasolina especial 98";"2021-10-12 11:00";"Braga";"Rua de Porto d'Ave";"Taíde - Cidade N'Aldeia";"4830-755";41.56111;-8.22226
"E.S. ENTRE-OS-RIOS";"Outro";"Penafiel";"1,304 €";"REPSOL";"Gasóleo colorido";"2022-02-28 00:00";"Porto";"Lugar da Torre";"Portela";"4575-000";41.10232;-8.29227
"PD CORUCHE";"Outro";"Coruche";"2,121 €";"PINGO DOCE";"Gasolina 98";"2022-07-01 11:00";"Santarém";"EN 114";"Santo Antonino";"2100-048";38.96553;-8.53289
"E.S. ALCOCHETE";"Outro";"Alcochete";"1,219 €";"REPSOL";"Gasóleo colorido";"2023-04-03 00:00";"Setúbal";"Rotunda Alcochete";"Alcochete";"2890-164";38.7456;-8.93078
"Barreirinho - Abraveses";"Outro";"Viseu";"1,549 €";"Genérico";"Gasolina 98";"2023-10-04 15:45";"Viseu";"Av. Tenente Coronel Silva Simões, 156";"Abraveses";"3515-150";40.68313;-7.91929
"E.S. VALEGA A";"Outro";"Ovar";"1,449 €";"REPSOL";"Gasóleo colorido";"2023-10-16 00:00";"Aveiro";"EN 109 Km 39,5";"Areeiro - Válega - Ovar";"3880-000";40.82543;-8.57965
"PRIO Coimbrão";"Outro";"Leiria";"1,699 €";"PRIO";"Gasóleo simples";"2024-02-19 10:15";"Leiria";"EN 109-9 Km 3,4";"Salgueira";"2425-452";39.894387;-8.871528
"Matéria Essencial";"Outro";"Odemira";"2,300 €";"Genérico";"Gasolina de mistura (motores a 2 tempos)";"2024-04-02 07:00";"Beja";"Estrada Municipal 532 - Corte Pinheiro";"São Luis";"7630-440";37.71869;-8.66728
"A24 Viseu (Norte)";"Auto-estrada";"Viseu";"1,654 €";"Genérico";"Biodiesel B15";"2024-04-09 00:05";"Viseu";"A24 Lanço Castro Daire Sul/Nó com IP5";"Campo";"3515-512";40.7075;-7.943055
"BP TERROSO";"Outro";"Póvoa de Varzim";"2,398 €";"BP";"Gasolina de mistura (motores a 2 tempos)";"2024-07-30 22:30";"Porto";"Rua da Estrada Nova nº 837";"Terroso";"4495-524";41.41102;-8.73914
"BP Cabaços JMGracio";"Outro";"Alvaiázere";"2,029 €";"BP";"Gasolina especial 98";"2024-08-05 07:00";"Leiria";"R. Conselheiro José Eduardo Simões";"Cabaços";"3250-359";39.80565;-8.34787
"MARQUES & FILHO - ÉVORA";"Outro";"Évora";"1,999 €";"GALP";"Gasolina especial 98";"2024-08-07 00:05";"Évora";"EN 114 Km 182";"Graça do Divor";"7000-000";38.575123;-7.982641
"FOROS DE AMORA";"Outro";"Seixal";"1,869 €";"CEPSA";"Gasolina especial 98";"2024-08-26 00:00";"Setúbal";"Estrada dos Foros de Amora - Amora";"Seixal";"2845-213";38.61069999;-9.12498338
"CEPSA S. Teotónio";"Outro";"Odemira";"1,939 €";"CEPSA";"Gasolina especial 98";"2024-09-01 00:00";"Beja";"Loteamento Industrial da Bemposta, Lote 7";"S. Teotónio";"7630-614";37.50998;-8.71566
"P37 - Q8 Balazar";"Outro";"Póvoa de Varzim";"1,774 €";"Q8";"Gasolina especial 98";"2024-09-30 09:35";"Porto";"Rua Dª Benta nº244";"Balasar";"4570-044";41.40736;-8.62569
"P40 - Q8 Santo Tirso";"Outro";"Santo Tirso";"1,739 €";"Q8";"Gasolina especial 98";"2024-10-07 09:15";"Porto";"Lugar de Cavadas";"Santo Tirso";"4780-419";41.342618;-8.493583
"P36 - Q8 Albergaria";"Outro";"Albergaria-a-Velha";"0,944 €";"Q8";"GPL Auto";"2024-10-28 10:05";"Aveiro";"Rua Dr. Quina Ferreira, 74";"Sobreiro";"3850-273";40.68506;-8.52139
"P38 - Mozelos";"Outro";"Santa Maria da Feira";"1,784 €";"Q8";"Gasolina especial 98";"2024-10-28 10:05";"Aveiro";"AV. Albertina Ferreira de Amorim, 642";"Mozelos";"4535-202";40.9884;-8.56967
"BP Pevidém";"Outro";"Guimarães";"1,119 €";"BP";"GPL Auto";"2024-12-02 15:40";"Braga";"Rua João Pereira Fernandes";"Selho S. Jorge - Pevidem";"4835-324";41.42508;-8.35169
"CIRCUNSTÂNCIA AZUL - Serra de Sto. António";"Outro";"Alcanena";"2,300 €";"Genérico";"Gasolina de mistura (motores a 2 tempos)";"2024-12-02 16:00";"Santarém";"Rua João Assunção nº 34";"Serra de Santo António";"2380-608";39.512302;-8.730592
"Cepsa Povoa Santarém";"Outro";"Santarém";"1,928 €";"CEPSA";"Gasolina 98";"2024-12-11 00:00";"Santarém";"EN 3 - Km 46";"Póvoa de Santarém";"2000-531";39.303;-8.68559
"BP - GUISANDE, S.M. FEIRA";"Outro";"Santa Maria da Feira";"2,044 €";"BP";"Gasolina 98";"2024-12-30 00:00";"Aveiro";"Rua de Fornos nº370";"Guisande";"4525-323";40.9781;-8.48164
"P19 - Q8 Rossas- Ermal";"Outro";"Vieira do Minho";"2,350 €";"PRIO";"Gasolina de mistura (motores a 2 tempos)";"2024-12-30 11:00";"Braga";"Lugar da Trasleira";"Trasleira";"4850-312";41.5706;-8.110082
"P15 - Q8 Vila Verde";"Outro";"Vila Verde";"2,320 €";"PRIO";"Gasolina de mistura (motores a 2 tempos)";"2024-12-30 11:00";"Braga";"Largo do Bom Retiro";"Vila Verde";"4730-729";41.65563;-8.431852
"GABARITO PRINCIPAL LDA";"Outro";"Mogadouro";"1,999 €";"SHELL";"Gasolina especial 98";"2025-01-06 07:40";"Bragança";"AVENIDA DO SABOR";"Mogadouro";"5200-204";41.345251;-6.705865
"AUTO MOURA Posto de Abastecimento GALP Carvalhosa";"Outro";"Paços de Ferreira";"2,250 €";"GALP";"Gasolina de mistura (motores a 2 tempos)";"2025-01-07 09:30";"Porto";"Rua Nª Srª do Rosário,197 (EN 209)";"Carvalhosa";"4590-055";41.29194;-8.37853
"Barreirinho - Pascoal";"Outro";"Viseu";"1,779 €";"Genérico";"Gasolina especial 98";"2025-01-10 09:15";"Viseu";"Avenida do alto de Abraveses - EN 16  Pascoal";"Pascoal";"3515-828";40.688106;-7.927116
"Almerindo Fernando Silva, Lda.";"Outro";"Macedo de Cavaleiros";"1,641 €";"GASPE";"Gasóleo de aquecimento";"2025-01-13 10:45";"Bragança";"Av. António Maria da Costa nº14 (EN 216)";"Chacim";"5340-092";41.46851;-6.8994
"OZ ENERGIA - SINTRA (Petrosintra)";"Outro";"Sintra";"1,629 €";"OZ Energia";"Biodiesel B15";"2025-01-17 19:40";"Lisboa";"EN 24 7(Av. 29 de Agosto nº 16-18)";"Terrugem";"2705-869";38.84008;-9.37349
"hacked by cyberteam";"Outro";"Barcelos";"2,100 €";"BP";"Gasolina de mistura (motores a 2 tempos)";"2025-01-20 00:00";"Braga";"Lugar do Monte";"Lugar do Monte - Lijó";"4750-531";41.563144;-8.600886
"Moeve - Soalhães";"Outro";"Marco de Canaveses";"2,038 €";"Genérico";"Gasolina 98";"2025-01-27 00:05";"Porto";"R. Rechão da Forca, 134";"Soalhães";"4630-631";41.1608;-8.1089
"Moeve - Prozelo";"Outro";"Arcos de Valdevez";"2,003 €";"Genérico";"Gasolina 98";"2025-01-27 00:05";"Viana do Castelo";"Lugar de Estanque";"Prozelo";"4970-285";41.87246;-8.42791
"P25 - Q8 Celorico";"Outro";"Celorico de Basto";"1,839 €";"PRIO";"Gasolina especial 98";"2025-01-27 09:30";"Braga";"Crespos- Britelo";"Celorico de Basto";"4890-264";41.39718;-7.992959
"P27 - Q8 Coimbrões";"Outro";"Vila Nova de Gaia";"1,809 €";"PRIO";"Gasolina especial 98";"2025-01-27 09:30";"Porto";"Avenida Ludgero Marques";"Vila Nova de Gaia";"4400-057";41.12705;-8.628985
"P20 - Q8 Laúndos - ZI";"Outro";"Póvoa de Varzim";"2,034 €";"PRIO";"Gasolina especial 98";"2025-01-27 09:30";"Porto";"Parque industrial Laúndos";"Laundos";"4570-311";41.450592;-8.727037
"Crisalbi.Lda";"Outro";"Castelo Branco";"2,300 €";"GALP";"Gasolina de mistura (motores a 2 tempos)";"2025-01-27 11:20";"Castelo Branco";"Estrada Nacional 233 ";"S.Domingos";"6000-707";39.84562;-7.63673
"ARGANIL II (entrada)";"Outro";"Arganil";"1,276 €";"CEPSA";"Gasóleo colorido";"2025-01-27 12:50";"Coimbra";"EN 342-4 Km 1,5 - R. Comendador Saúl Brandão";"S. Pedro (Sul)";"3300-118";40.23152;-8.06305
"ARGANIL II (entrada)";"Outro";"Arganil";"1,650 €";"CEPSA";"Gasóleo de aquecimento";"2025-01-27 12:50";"Coimbra";"EN 342-4 Km 1,5 - R. Comendador Saúl Brandão";"S. Pedro (Sul)";"3300-118";40.23152;-8.06305
"Vila Franca das Naves";"Outro";"Trancoso";"1,983 €";"CEPSA";"Gasolina especial 98";"2025-02-03 00:00";"Guarda";"EN 226";"Vila Franca das Naves";"6420-708";40.725425;-7.264571
"BP - AFONSO HENRIQUES - ARRIFANA";"Outro";"Santa Maria da Feira";"2,089 €";"BP";"Gasolina 98";"2025-02-03 11:40";"Aveiro";"E.N. 327 - Km 14,576 - R. Dom Afonso Henriques";"Arrifana";"3700-312";40.89677;-8.50631
"ATEI COMBUSTIVEIS E LUBRIFICANTES UNIPESSOAL LDA";"Outro";"Mondim de Basto";"2,059 €";"GASPE";"Gasolina 98";"2025-02-03 18:30";"Vila Real";"Lugar do Meirão";"Vilarinho";"4880-318";41.41532;-7.8797
"PetroJoane - Combustiveis Lubrificantes, Lda";"Outro";"Vila Nova de Famalicão";"2,170 €";"FREITAS";"Gasolina de mistura (motores a 2 tempos)";"2025-02-04 00:00";"Braga";"R. de São Bento, nº 30";"Joane";"4770-222";41.436507;-8.421326
"Alves Bandeira - Lagameças";"Outro";"Palmela";"2,300 €";"ALVES BANDEIRA";"Gasolina de mistura (motores a 2 tempos)";"2025-02-05 13:30";"Setúbal";"EM 533";"Lagameças";"2965-261";38.60539;-8.78249
"PETROCENTRO";"Outro";"Felgueiras";"2,009 €";"FREITAS";"Gasolina 98";"2025-02-06 15:35";"Porto";"Airães";"Felgueiras-Lugar do Paraíso";"4650-078";41.31548;-8.19558
"PETROCENTRO";"Outro";"Felgueiras";"2,150 €";"FREITAS";"Gasolina de mistura (motores a 2 tempos)";"2025-02-06 15:35";"Porto";"Airães";"Felgueiras-Lugar do Paraíso";"4650-078";41.31548;-8.19558
"ALFABRENT Guimarães Silvares";"Outro";"Guimarães";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Braga";"R. 25 Abril - Lugar de Carvalhais";"Silvares";"4835-400";41.442571;-8.333676
"BP Azoia";"Outro";"Leiria";"2,099 €";"BP";"Gasolina 98";"2025-02-10 00:00";"Leiria";"Est. da Maceira Cruz de São Tomé";"Azoia";"2400-823";39.71452;-8.831504
"BP EN 125 (SUL)";"Outro";"Faro";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Faro";"EN 125";"Faro - Pontes de Marchil";"8000-000";37.029915;-7.947817
"BP EN 125 (NORTE)";"Outro";"Faro";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Faro";"EN 125";"Faro - Pontes de Marchil";"8000-000";37.030249;-7.947455
"ALFABRENT Santo Tirso Fontiscos";"Outro";"Santo Tirso";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Porto";"Rua dos Fontiscos, nr.º 693";"Santo Tirso";"4780-470";41.3406;-8.49337
"Bp Boliqueime II";"Outro";"Loulé";"2,099 €";"BP";"Gasolina 98";"2025-02-10 00:00";"Faro";"Posto BP Boliqueime Sitio Matos da Picota N270";"Boliqueime-Sítio Matos da Picota";"8100-307";37.1499;-8.12591
"A4 - Vila Real Norte (Lamares)";"Auto-estrada";"Vila Real";"2,109 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Vila Real";"A4, Km 101.450, Lote 2, Lado Norte";"Lamares";"5000-131";41.32436;-7.64109
"A4 - Vila Real Sul (Lamares)";"Auto-estrada";"Vila Real";"2,109 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Vila Real";"A4, Km 101.45, Lote 2, Lado Sul";"Lamares";"5000-131";41.3236;-7.64111
"BP ERMESINDE";"Outro";"Valongo";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Porto";"Rua José Joaquim Ribeiro Teles";"Ermesinde";"4445-485";41.21409;-8.5501
"BP ARRIFANA";"Outro";"Santa Maria da Feira";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Aveiro";"Rua Terras de Santa Maria\r\n(Antiga Estrada Nacional nº1 - km 276,065)\r\nApartado 1077";"Arrifana";"3700-908";40.91849;-8.49898
"Sintra - Av. Cascais";"Outro";"Sintra";"2,099 €";"BP";"Gasolina especial 95";"2025-02-10 00:00";"Lisboa";"Avenida de Cascais nº620";"Sintra";"2710-329";38.75988333;-9.387480505
"CEPSA_ LOUREDO";"Outro";"Santa Maria da Feira";"2,009 €";"CEPSA";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 00:00";"Aveiro";"EN 326 Km 16,600";"Louredo";"4525-353";40.980061;-8.458472
"CEPSA GUEIFÃES";"Outro";"Maia";"2,200 €";"CEPSA";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 00:00";"Porto";"Av. Dr. Germano Vieira nº 559";"Gueifaes";"4470-050";41.21755;-8.60416
"BP Ponte da Barca";"Outro";"Ponte da Barca";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Viana do Castelo";"Variante à EN 101 Km 38,5";"Paço Vedro de Magalhães- Coto de Talhós";"4980-639";41.794291;-8.410366
"BP Themoteo";"Outro";"Póvoa de Varzim";"2,099 €";"BP";"Gasolina 98";"2025-02-10 00:00";"Porto";"Praça Marquês de Pombal";"Póvoa de Varzim";"4490-657";41.38059;-8.76103
"VIANA DO CASTELO";"Outro";"Viana do Castelo";"2,350 €";"BP";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 00:00";"Viana do Castelo";"Av. Abelheira nº 156";"Abelheira - Santa Maria Maior";"4900-926";41.707157;-8.822066
"VIANA DO CASTELO";"Outro";"Viana do Castelo";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Viana do Castelo";"Av. Abelheira nº 156";"Abelheira - Santa Maria Maior";"4900-926";41.707157;-8.822066
"ÁGUAS SANTAS";"Outro";"Maia";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Porto";"Rua do Mosteiro";"Águas Santas";"4425-140";41.210002;-8.576243
"ALFENA";"Outro";"Valongo";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:00";"Porto";"Rua 1º de Maio nº 1770";"Alfena";"4445-245";41.241066;-8.525901
"BP GILMONDE";"Outro";"Barcelos";"2,099 €";"BP";"Gasolina 98";"2025-02-10 00:00";"Braga";"EN 205 Km 19,53";"Gilmonde";"4750-000";41.51351;-8.65057
"BP VIA RÁPIDA (SUL)";"Outro";"Almada";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Setúbal";"Via Rápida da Costa da Caparica";"Almada- Casquilho";"2800-000";38.663846;-9.179245
"BP SANTARÉM (Variante)";"Outro";"Santarém";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Santarém";"Circular Urbana D. Luís I";"Santarém";"2005-000";39.257468;-8.701195
"MATOSINHOS - CUSTOIAS";"Outro";"Matosinhos";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Porto";"Rua CÃ¢ndido dos Reis 2114";"Custóias Matosinhos";"4460-702";41.201341;-8.646451
"BP RAMALHÃO";"Outro";"Sintra";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Lisboa";"Av. Conde de Sucena";"S. Pedro - Ramalhão";"2710-011";38.788648;-9.373986
"BP PERO PINHEIRO";"Outro";"Sintra";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Lisboa";"Av. 19 de Maio nº 22";"Pero Pinheiro";"2715-000";38.852644;-9.326478
"BP IC19";"Outro";"Sintra";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Lisboa";"IC 19";"Cacém - São Marcos";"2735-000";38.762147;-9.296714
"ÉVORA";"Outro";"Évora";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Évora";"Portas de Machede";"Évora";"7000-753";38.573846;-7.900327
"BP FUNDÃO";"Outro";"Fundão";"2,099 €";"BP";"Gasolina 98";"2025-02-10 00:05";"Castelo Branco";"Av. da Liberdade";"Fundão";"6234-909";40.14067;-7.49803
"BP AEROPORTO";"Outro";"Lisboa";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Lisboa";"Nova Rotunda Aeroporto de Lisboa (Av. de Berlim)";"Lisboa";"1700-000";38.769292;-9.125539
"Cepsa - TONDELA";"Outro";"Tondela";"2,300 €";"CEPSA";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 00:05";"Viseu";"Av. Dr. Francisco Sá Carneiro, 600";"Tondela-Alto do Pendão";"3460-523";40.5076;-8.08055
"BP DUARTE PACHECO";"Outro";"Lisboa";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 00:05";"Lisboa";"Av. Duarte Pacheco, nº 43 - 43A";"Lisboa";"1070-113";38.72269866;-9.16787929
"VILAR DO PINHEIRO";"Outro";"Vila do Conde";"1,978 €";"CEPSA";"Gasolina especial 98";"2025-02-10 00:05";"Porto";"E.N. 13 - Lugar da Igreja - Vilar Pinheiro\r\n";"Vila do Conde";"4485-860";41.27038709;-8.67019644
"JOMOVAL - BP -  CORUCHE";"Outro";"Coruche";"2,500 €";"BP";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 00:05";"Santarém";"Rua de Santarém";"Coruche";"2100-225";38.95847;-8.52372
"PA Tarouca - Dalvares - Posto de Abastecimento Sassa";"Outro";"Tarouca";"1,579 €";"BP";"Gasóleo de aquecimento";"2025-02-10 00:05";"Viseu";"EN 226\r\n";"Dalvares";"3610-016";41.02808;-7.76533
"VILA NOVA DE PAIVA";"Outro";"Vila Nova de Paiva";"1,836 €";"CEPSA";"Gasolina 98";"2025-02-10 00:05";"Viseu";"Av. Aquilino Ribeiro (Lg. Ramalhal)\r\n";"Vila Nova de Paiva";"3650-210";40.852;-7.72786
"PRIO Coimbra - Parque Verde";"Outro";"Coimbra";"1,679 €";"PRIO";"Biodiesel B15";"2025-02-10 00:05";"Coimbra";"Avenida da Lousã";"Insua dos Bentos";"3030-476";40.203392;-8.425225
"BP Carnide - Hugsan, Lda";"Outro";"Pombal";"2,099 €";"BP";"Gasolina 98";"2025-02-10 00:05";"Leiria";"Estrada da Guia 13, Lugar de Martim Godim";"Carnide";"3105-038";39.88809;-8.75844
"BP VANDOMA";"Outro";"Paredes";"2,099 €";"BP";"Gasolina 98";"2025-02-10 06:00";"Porto";"Rua Central de Vandoma nº 50";"Vandoma";"4585-769";41.190692;-8.398271
"BP VALE DE CAMBRA";"Outro";"Vale de Cambra";"2,099 €";"BP";"Gasolina 98";"2025-02-10 06:30";"Aveiro";"Av. Infante D. Henrique nº 6";"Vale de Cambra";"3730-241";40.849264;-8.396667
"Gasolinas Montenegro";"Outro";"Valpaços";"1,637 €";"FREITAS";"Gasóleo de aquecimento";"2025-02-10 07:00";"Vila Real";"Avenida D. Dinis nº1";"Carrazedo de Montenegro";"5445-110";41.56014;-7.428046
"Gasolinas Montenegro";"Outro";"Valpaços";"2,040 €";"FREITAS";"Gasolina 98";"2025-02-10 07:00";"Vila Real";"Avenida D. Dinis nº1";"Carrazedo de Montenegro";"5445-110";41.56014;-7.428046
"Posto Abastecimento BP - Torres Novas";"Outro";"Torres Novas";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 07:00";"Santarém";"Avenida Andrade Corvo";"Torres Novas";"2350-463";39.471306;-8.542961
"BP GRANDOLA (ESTE)";"Outro";"Grândola";"2,099 €";"BP";"Gasolina 98";"2025-02-10 07:50";"Setúbal";"EN 120";"Bairro do Isaías";"7570-124";38.216656;-8.558039
"ASA Combustiveis & Lubrificantes";"Outro";"Sertã";"2,300 €";"GALP";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 08:45";"Castelo Branco";"Paque Industrial, Lote 15Ap. 10";"Sertã";"6104-909";39.81495;-8.10892
"ASA Combustiveis & Lubrificantes";"Outro";"Sertã";"1,869 €";"GALP";"Gasolina 98";"2025-02-10 08:45";"Castelo Branco";"Paque Industrial, Lote 15Ap. 10";"Sertã";"6104-909";39.81495;-8.10892
"P. A. Recta do Pinhal";"Outro";"Sertã";"1,869 €";"BP";"Gasolina especial 98";"2025-02-10 09:00";"Castelo Branco";"Recta do Pinhal";"Sertã";"6100-751";39.79967;-8.09258
"Posto Cepsa Nelas";"Outro";"Nelas";"1,610 €";"CEPSA";"Gasóleo de aquecimento";"2025-02-10 09:30";"Viseu";"EN 234 - km 95.6";"Nelas";"3520-095";40.558067;-7.835172
"Posto Cepsa Nelas";"Outro";"Nelas";"1,836 €";"CEPSA";"Gasolina 98";"2025-02-10 09:30";"Viseu";"EN 234 - km 95.6";"Nelas";"3520-095";40.558067;-7.835172
"GESTROIL ENERGY - Boleiros";"Outro";"Ourém";"1,124 €";"G-ENERGY";"Gasóleo colorido";"2025-02-10 09:30";"Santarém";"Estrada de Minde, nº328\r\n";"Fátima - Boleiros";"2495-300";39.57652;-8.64232
"ARMANDO MARQUES TEOTÓNIO";"Outro";"Fundão";"2,040 €";"GALP";"Gasolina 98";"2025-02-10 09:45";"Castelo Branco";"Vale das Relvas";"Silvares";"6230-670";40.14157;-7.66532
"BP SINES";"Área comercial (Hipermercados)";"Sines";"2,099 €";"BP";"Gasolina 98";"2025-02-10 10:00";"Setúbal";"Loteamento Municipal, R 52 Lote 8";"Sines";"7520-001";37.966246;-8.857715
"Bombolite unipessoal lda";"Outro";"Paredes";"2,100 €";"Genérico";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 10:10";"Porto";"Rua De Fijô, nº 25";"Rebordosa";"4585-847";41.22356;-8.42035
"VENDEIRO BALAZAR NASCENTE";"Outro";"Póvoa de Varzim";"1,884 €";"Genérico";"Gasolina especial 98";"2025-02-10 10:20";"Porto";"Rua da Fábrica nº343 (EN206)";"Balazar";"4570-029";41.4148;-8.6489
"BP S. MAMEDE INFESTA";"Outro";"Matosinhos";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 10:20";"Porto";"R. Santos Dias, 761";"São Mamede de Infesta";"4465-255";41.1994959;-8.6094731
"GASPE Alfândega da Fé";"Outro";"Alfândega da Fé";"1,980 €";"GASPE";"Gasolina 98";"2025-02-10 10:25";"Bragança";"Rua  Flores,  ";"Alfândega da Fé";"5350-005";41.34926;-6.96046
"GAO";"Outro";"Lourinhã";"1,839 €";"Genérico";"Gasolina 98";"2025-02-10 10:30";"Lisboa";"Av. António José de Almeida, 21";"Lourinhã";"2530-113";39.24476;-9.31373
"POSTO ALVAIÁZERE";"Outro";"Alvaiázere";"1,998 €";"CEPSA";"Gasolina especial 98";"2025-02-10 10:30";"Leiria";"Parque Industrial de Saganga, lote 3 e 4";"Alvaiázere";"3250-111";39.816294;-8.378092
"ALVES BANDEIRA Lourosa B";"Outro";"Santa Maria da Feira";"1,029 €";"ALVES BANDEIRA";"GPL Auto";"2025-02-10 10:40";"Aveiro";"Av. Principal nº110 (EN 1)";"Mozelos";"4536-909";40.99831;-8.54093
"ALVES BANDEIRA Ceira A";"Outro";"Coimbra";"1,274 €";"ALVES BANDEIRA";"Gasóleo colorido";"2025-02-10 10:40";"Coimbra";"Rua da Beira";"Ceira";"3030-853";40.1737;-8.3857
"ALVES BANDEIRA Lourosa B";"Outro";"Santa Maria da Feira";"1,984 €";"ALVES BANDEIRA";"Gasolina 98";"2025-02-10 10:40";"Aveiro";"Av. Principal nº110 (EN 1)";"Mozelos";"4536-909";40.99831;-8.54093
"ALVES BANDEIRA Montemor-o-Velho B";"Outro";"Montemor-o-Velho";"1,264 €";"ALVES BANDEIRA";"Gasóleo colorido";"2025-02-10 10:40";"Coimbra";"ESTRADA NACIONAL 111";"Montemor-o-Velho";"3140-274";40.18119;-8.67621
"ALVES BANDEIRA Alhandra A";"Outro";"Vila Franca de Xira";"1,304 €";"ALVES BANDEIRA";"Gasóleo colorido";"2025-02-10 10:40";"Lisboa";"EN 10";"Alhandra";"2600-464";38.927485;-9.010969
"CEPSA - Viseu (Av. da Bélgica)";"Outro";"Viseu";"1,816 €";"CEPSA";"Gasolina especial 98";"2025-02-10 10:55";"Viseu";"Av. da Bélgica";"Viseu - S.José";"3510-159";40.668669;-7.915842
"Leão & Companhia, Lda - Posto de Combustíveis de Lustosa";"Outro";"Lousada";"1,999 €";"FREITAS";"Gasolina 98";"2025-02-10 11:15";"Porto";"Rua de Pombal nº 160";"Lustosa";"4620-261";41.322619;-8.317698
"Petrofregim Amarante";"Outro";"Amarante";"2,180 €";"PRIO";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 11:15";"Porto";"Rua António Carneiro";"Madalena";"4600-049";41.26605;-8.07032
"POSTO DO CAVALINHO";"Outro";"Amarante";"2,180 €";"Genérico";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 11:15";"Porto";"Rua de Palmazões, EN 101";"Lugar do Cavalinho";"4600-001";41.2455;-8.03583
"PETROFREGIM- VILA CAIZ";"Outro";"Amarante";"2,180 €";"Genérico";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 11:15";"Porto";"R. Padre Álvaro Silva Barbosa, nº172";"Vila Caíz ";"4600-782";41.23033;-8.13487
"POSTO DE FREGIM";"Outro";"Amarante";"2,180 €";"Genérico";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 11:15";"Porto";"Rua da Boavista nº1730";"Fregim";"4600-593";41.2661;-8.11844
"BP GUARDA SÃO MIGUEL";"Outro";"Guarda";"2,099 €";"BP";"Gasolina 98";"2025-02-10 11:20";"Guarda";"Av. São Miguel nº15";"Guarda Gare";"6300-864";40.55331;-7.2467
"CÁLCULO TRIUNFAL - Combustíveis e Investimento, LDA";"Outro";"Paredes";"2,180 €";"GALP";"Gasolina de mistura (motores a 2 tempos)";"2025-02-10 11:25";"Porto";"Praça de Vales nº 28";"Rebordosa";"4585-532";41.21199;-8.41868
"BP MANGUALDE  REGADINHA";"Outro";"Mangualde";"2,099 €";"BP";"Gasolina 98";"2025-02-10 11:30";"Viseu";"Av. Montes Hermínios ";"Mangualde - Cubos";"3530-116";40.58893;-7.76425
"BP OLHÃO ";"Outro";"Olhão";"2,099 €";"BP";"Gasolina 98";"2025-02-10 12:45";"Faro";"EN 125 Km 113";"Olhão";"8700-000";37.031;-7.84986
"BP Beja (Variante)";"Outro";"Beja";"2,099 €";"BP";"Gasolina 98";"2025-02-10 12:55";"Beja";"Rua António Sardinha";"Beja";"7800-000";38.00986;-7.87449
"BP Vizela Norte";"Outro";"Vizela";"2,099 €";"BP";"Gasolina 98";"2025-02-10 13:20";"Braga";"EN 106, 925";"Infias";"4815-093";41.39664;-8.31958
"Boxoil";"Outro";"Vizela";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 13:25";"Braga";"Rua Guilherme Caldas Peixoto 183";"Vizela";"4815-000";41.37069;-8.31226
"BP Beja (Castilho)";"Outro";"Beja";"2,099 €";"BP";"Gasolina 98";"2025-02-10 13:25";"Beja";"Av. Fialho de Almeida";"Beja";"7800-000";38.01025;-7.86412
