id,nome,distrito,municipio,tipo de curso,privado/publico
id,Cursos Profissionais,Aveiro,Espinho,Nenhum,Desconhecido
id,6,Aveiro,Espinho,Nenhum,Desconhecido
id,Escola Secundária de Estarreja,Aveiro,Estarreja,Nenhum,Desconhecido
id,Cursos Científico-Humanísticos,Aveiro,Estarreja,Nenhum,Desconhecido
id,Cursos Profissionais,Aveiro,Estarreja,Nenhum,Desconhecido
id,1,Aveiro,Estarreja,Nenhum,Desconhecido
id,"Escola Secundária de Gafanha da Nazaré, Ílhavo",Aveiro,Ílhavo,Nenhum,Desconhecido
id,Cursos Científico-Humanísticos,Aveiro,Ílhavo,Nenhum,Desconhecido
id,Cursos Profissionais,Aveiro,Ílhavo,Nenhum,Desconhecido
id,"Escola Secundária Dr. João Carlos Celestino Gomes, Ílhavo",Aveiro,Ílhavo,Nenhum,Desconhecido
id,Cursos Científico-Humanísticos,Aveiro,Ílhavo,Nenhum,Desconhecido
id,Cursos Profissionais,Aveiro,Ílhavo,Nenhum,Desconhecido
id,2,Aveiro,Ílhavo,Nenhum,Desconhecido
id,Escola Profissional Vasconcellos Lebre (Propriedade da Escola Profissional da Mealhada Ldª.),Aveiro,Mealhada,Nenhum,Desconhecido
id,,Aveiro,Mealhada,Nenhum,Desconhecido
id,Cursos Profissionais,Aveiro,Mealhada,Nenhum,Desconhecido
id,Escola Secundária de Mealhada,Aveiro,Mealhada,Nenhum,Desconhecido
id,Cursos Científico-Humanísticos,Aveiro,Mealhada,Nenhum,Desconhecido
id,,Aveiro,Mealhada,Nenhum,Desconhecido
id,2,Aveiro,Mealhada,Nenhum,Desconhecido
id,"Escola Básica e Secundária Padre António Morais da Fonseca, Murtosa",Aveiro,Murtosa,Nenhum,Desconhecido
id,Cursos Científico-Humanísticos,Aveiro,Murtosa,Nenhum,Desconhecido
id,,Aveiro,Murtosa,Nenhum,Desconhecido
id,1,Aveiro,Murtosa,Nenhum,Desconhecido
